=== Run information ===

Evaluator:    weka.attributeSelection.InfoGainAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     _home_supun_Documents_wekafiles_dataset2_Tokens_arff_docs__home_supun_Documents_wekafiles_dataset2_LOC-weka.filters.unsupervised.attribute.Remove-R2_java_keywords.arff-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters " \r\n\t.,;:\'\"()?!"
Instances:    2804
Attributes:   1609
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 59 @@class@@):
	Information Gain Ranking Filter

Ranked attributes:
 0.20532     1402 job
 0.1449      1563 table
 0.14192      549 id
 0.13658     1197 action
 0.13597     1455 oozie
 0.13098      887 services
 0.11922     1263 coord
 0.10766     1366 getid
 0.10703     1270 coordinator
 0.10617     1099 xml
 0.09779        1 loc
 0.09138     1595 workflow
 0.08846     1374 getstatus
 0.08739       47 throws_keyword
 0.08452      820 record
 0.07807     1412 jpa
 0.07528     1413 jpaservice
 0.07332      885 service
 0.07211     1589 wf
 0.06895     1272 coordinatorjob
 0.06822     1363 getfilesystem
 0.06189     1271 coordinatoraction
 0.06027      159 app
 0.05975      478 get
 0.05605      249 case
 0.05568     1214 addrecordtocoordjobtable
 0.05337      411 execute
 0.04802      271 cluster
 0.04763      959 system
 0.0467      1335 evaluate
 0.0466       852 return
 0.04608     1301 dateutils
 0.04559      712 node
 0.04533      990 thenreturn
 0.04531      686 mockito
 0.04526      938 status
 0.04207      330 date
 0.04152     1598 workflowjob
 0.04114     1513 runtest
 0.04076     1128 00z
 0.04076     1364 getfstestcasedir
 0.04067      240 call
 0.04007     1251 cmd
 0.04001     1410 jobid
 0.03888       58 keywordcount
 0.03853     1575 tz
 0.03816     1207 actions
 0.0379      1074 wait
 0.03737     1464 parsedateoozietz
 0.03699     1236 bundle
 0.03699     1213 addrecordtocoordactiontable
 0.03684     1311 dfs
 0.03661     1597 workflowinstance
 0.03511     1265 coord-action-get
 0.03472      134 add
 0.03361     1456 oozieclient
 0.03319     1586 waitfor
 0.03286     1224 apppath
 0.03249     1397 is_security_enabled
 0.03249     1376 gettestuser
 0.03174     1596 workflowaction
 0.03143     1057 utils
 0.03108      713 nodes
 0.03062     1506 restconstants
 0.03062     1560 t01
 0.0304        82 00
 0.03018     1008 to
 0.03        1396 is_
 0.02951     1362 geterrorcode
 0.02951     1453 numdatanodes
 0.02927      258 charsets
 0.02914     1375 gettestcasedir
 0.02876     1332 errorcode
 0.02868      267 client
 0.02854      927 standard
 0.02839     1216 addrecordtowfjobtable
 0.02823     1520 security_
 0.0278       928 standardcharsets
 0.02765     1201 action2
 0.02765     1212 addrecordtobundlejobtable
 0.02738      458 for
